"","AGE1","PRDTRACE","PRDASIAN","A_MJOCC","PEIO1COW","PH_SEQ","GEDIV","GEREG","GESTFIPS","HEFAMINC","H_TYPEBC","H_YEAR","H_MONTH"
"42326",8,2,-1,4,4,23007,3,2,26,12,0,2019,3
"42327",13,2,-1,2,4,23007,3,2,26,12,0,2019,3
"42328",14,2,-1,0,0,23008,3,2,26,8,0,2019,3
"42329",13,4,2,2,4,23009,3,2,26,15,0,2019,3
"42330",12,4,2,1,4,23009,3,2,26,15,0,2019,3
"42331",10,4,1,2,4,23010,3,2,26,15,0,2019,3
"42332",10,4,1,1,6,23010,3,2,26,15,0,2019,3
"42333",0,4,1,0,0,23010,3,2,26,15,0,2019,3
"42334",14,2,-1,0,0,23011,3,2,26,13,0,2019,3
"42335",14,1,-1,0,0,23011,3,2,26,13,0,2019,3
"42336",13,1,-1,0,0,23011,3,2,26,13,0,2019,3
"42337",10,2,-1,9,4,23012,3,2,26,10,0,2019,3
"42338",16,2,-1,0,0,23012,3,2,26,10,0,2019,3
"42339",10,2,-1,8,5,23015,3,2,26,11,0,2019,3
"42340",6,2,-1,3,4,23015,3,2,26,11,0,2019,3
"42341",6,2,-1,3,5,23015,3,2,26,11,0,2019,3
"42342",4,2,-1,3,4,23015,3,2,26,11,0,2019,3
"42343",12,2,-1,0,0,23016,3,2,26,8,0,2019,3
"42344",15,2,-1,0,0,23016,3,2,26,8,0,2019,3
"42345",14,2,-1,0,0,23019,3,2,26,4,0,2019,3
"42346",16,2,-1,0,0,23020,3,2,26,8,0,2019,3
"42347",11,2,-1,0,0,23022,3,2,26,3,0,2019,3
"42348",11,2,-1,0,0,23024,3,2,26,4,0,2019,3
"42349",5,2,-1,0,0,23024,3,2,26,4,0,2019,3
"42350",3,2,-1,0,0,23024,3,2,26,4,0,2019,3
"42351",12,2,-1,0,0,23025,3,2,26,5,0,2019,3
"42352",9,2,-1,0,0,23026,3,2,26,1,0,2019,3
"42353",12,1,-1,0,0,23028,3,2,26,1,0,2019,3
"42354",10,1,-1,0,0,23028,3,2,26,1,0,2019,3
"42355",0,1,-1,0,0,23028,3,2,26,1,0,2019,3
"42356",0,1,-1,0,0,23028,3,2,26,1,0,2019,3
"42357",16,2,-1,0,0,23029,3,2,26,6,0,2019,3
"42358",16,1,-1,2,4,23030,3,2,26,14,0,2019,3
"42359",15,2,-1,0,0,23030,3,2,26,14,0,2019,3
"42360",7,2,-1,0,0,23031,3,2,26,7,0,2019,3
"42361",0,2,-1,0,0,23031,3,2,26,7,0,2019,3
"42362",16,1,-1,0,0,23032,3,2,26,3,0,2019,3
"42363",17,1,-1,0,0,23032,3,2,26,3,0,2019,3
"42364",8,1,-1,9,6,23033,3,2,26,12,0,2019,3
"42365",8,1,-1,0,0,23033,3,2,26,12,0,2019,3
"42366",0,1,-1,0,0,23033,3,2,26,12,0,2019,3
"42367",0,1,-1,0,0,23033,3,2,26,12,0,2019,3
"42368",10,1,-1,2,5,23034,3,2,26,15,0,2019,3
"42369",11,1,-1,1,4,23034,3,2,26,15,0,2019,3
"42370",4,1,-1,3,4,23034,3,2,26,15,0,2019,3
"42371",4,1,-1,3,5,23034,3,2,26,15,0,2019,3
"42372",1,1,-1,0,0,23034,3,2,26,15,0,2019,3
"42373",12,2,-1,0,0,23035,3,2,26,3,0,2019,3
"42374",12,2,-1,0,0,23036,3,2,26,3,0,2019,3
"42375",15,1,-1,0,0,23037,3,2,26,9,0,2019,3
"42376",5,1,-1,5,4,23037,3,2,26,9,0,2019,3
"42377",10,1,-1,2,4,23037,3,2,26,9,0,2019,3
"42378",10,1,-1,3,4,23037,3,2,26,9,0,2019,3
"42379",2,1,-1,0,0,23037,3,2,26,9,0,2019,3
"42380",0,1,-1,0,0,23037,3,2,26,9,0,2019,3
"42381",0,1,-1,0,0,23037,3,2,26,9,0,2019,3
"42382",6,1,-1,3,4,23038,3,2,26,6,0,2019,3
"42383",7,1,-1,9,4,23038,3,2,26,6,0,2019,3
"42384",0,1,-1,0,0,23038,3,2,26,6,0,2019,3
"42385",0,1,-1,0,0,23038,3,2,26,6,0,2019,3
"42386",0,1,-1,0,0,23038,3,2,26,6,0,2019,3
"42387",14,2,-1,0,0,23039,3,2,26,4,0,2019,3
"42388",14,2,-1,0,0,23040,3,2,26,4,0,2019,3
"42389",14,2,-1,3,4,23041,3,2,26,8,0,2019,3
"42390",16,2,-1,0,0,23042,3,2,26,6,0,2019,3
"42391",6,4,1,2,4,23043,3,2,26,10,0,2019,3
"42392",12,2,-1,0,0,23044,3,2,26,5,0,2019,3
"42393",6,1,-1,2,4,23045,3,2,26,13,0,2019,3
"42394",7,1,-1,0,0,23045,3,2,26,13,0,2019,3
"42395",17,1,-1,0,0,23046,3,2,26,12,0,2019,3
